epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07267,0.93025,2.01515,0.99842,0.71024,0.36195,0.39648,0.31083,0.90987,1.68436,0.99656,1.25e-05,1.25e-05,1.25e-05
2,47.0479,0.92018,1.94623,1.00173,0.72161,0.4055,0.42571,0.33442,0.90082,1.58163,0.98991,2.69555e-05,2.69555e-05,2.69555e-05
3,48.7272,0.92302,1.79109,0.99495,0.8091,0.39963,0.48478,0.37981,0.89209,1.44623,0.98158,4.0817e-05,4.0817e-05,4.0817e-05
4,50.4159,0.91059,1.68585,0.99031,0.81047,0.43,0.54336,0.42628,0.88573,1.33177,0.97271,5.40845e-05,5.40845e-05,5.40845e-05
5,52.0887,0.88241,1.50019,0.97167,0.67432,0.54843,0.5803,0.45576,0.89261,1.20366,0.96841,6.6758e-05,6.6758e-05,6.6758e-05
6,53.812,0.87527,1.33174,0.96668,0.76617,0.54518,0.64891,0.5071,0.88945,1.11716,0.97087,7.88375e-05,7.88375e-05,7.88375e-05
7,55.4618,0.86513,1.21899,0.9685,0.76346,0.6699,0.72055,0.56567,0.88238,0.99064,0.96895,9.0323e-05,9.0323e-05,9.0323e-05
8,57.0963,0.85538,1.14651,0.95612,0.81666,0.68023,0.74877,0.59009,0.88221,0.9776,0.96478,0.000101215,0.000101215,0.000101215
9,58.7421,0.88762,1.07263,0.96333,0.7647,0.73408,0.77778,0.61168,0.87699,0.94711,0.96985,0.000111512,0.000111512,0.000111512
10,60.3545,0.84047,0.96347,0.95937,0.79959,0.75446,0.8061,0.63502,0.88236,0.90282,0.96494,0.000121216,0.000121216,0.000121216
11,61.9833,0.83269,0.93029,0.9365,0.84833,0.75814,0.82427,0.65378,0.86952,0.82466,0.962,0.000130325,0.000130325,0.000130325
12,63.6072,0.82805,0.90716,0.95283,0.87572,0.72791,0.8286,0.66269,0.85637,0.84425,0.95643,0.00013884,0.00013884,0.00013884
13,65.2134,0.8219,0.85575,0.92931,0.87616,0.77656,0.83695,0.66285,0.86822,0.77122,0.95839,0.000146762,0.000146762,0.000146762
14,66.8428,0.82835,0.86275,0.94515,0.89142,0.78079,0.86435,0.69332,0.86863,0.81216,0.96053,0.00015409,0.00015409,0.00015409
15,68.4619,0.80789,0.79615,0.93869,0.84914,0.80763,0.86948,0.69461,0.86444,0.74318,0.95436,0.000160823,0.000160823,0.000160823
16,70.0187,0.78408,0.76746,0.93486,0.82497,0.80185,0.86293,0.67779,0.86309,0.79643,0.95516,0.000166962,0.000166962,0.000166962
17,71.5918,0.8045,0.77525,0.93749,0.83545,0.83314,0.87266,0.6824,0.86533,0.70835,0.95364,0.0001708,0.0001708,0.0001708
18,73.1755,0.78965,0.74338,0.93545,0.90267,0.81534,0.89098,0.69846,0.87533,0.68442,0.95488,0.00016585,0.00016585,0.00016585
19,74.8371,0.79108,0.73324,0.92357,0.81772,0.85518,0.914,0.7144,0.91229,0.69493,0.9684,0.0001609,0.0001609,0.0001609
20,76.467,0.78477,0.72687,0.93105,0.80332,0.82517,0.90537,0.72464,0.88275,0.697,0.96254,0.00015595,0.00015595,0.00015595
21,78.1102,0.77075,0.67609,0.91897,0.7762,0.87086,0.90531,0.72028,0.87734,0.68969,0.96456,0.000151,0.000151,0.000151
22,79.6778,0.79408,0.66944,0.93208,0.74898,0.87694,0.90494,0.72229,0.88586,0.68859,0.96064,0.00014605,0.00014605,0.00014605
23,81.2746,0.76027,0.65367,0.91863,0.82933,0.88988,0.93334,0.73837,0.87732,0.62536,0.96368,0.0001411,0.0001411,0.0001411
24,82.741,0.76484,0.62167,0.92926,0.89781,0.86277,0.9357,0.74852,0.86368,0.62553,0.95485,0.00013615,0.00013615,0.00013615
25,84.2643,0.77139,0.62705,0.91211,0.92493,0.83546,0.93311,0.74008,0.86609,0.62256,0.95821,0.0001312,0.0001312,0.0001312
26,85.6784,0.73668,0.62283,0.91337,0.91065,0.84605,0.93646,0.7476,0.86781,0.59232,0.95224,0.00012625,0.00012625,0.00012625
27,87.0871,0.72941,0.60091,0.90231,0.9326,0.85116,0.92768,0.74597,0.86118,0.59514,0.9504,0.0001213,0.0001213,0.0001213
28,88.4917,0.73149,0.59291,0.91576,0.93326,0.85395,0.92823,0.73638,0.86326,0.60003,0.9512,0.00011635,0.00011635,0.00011635
29,89.8917,0.73748,0.59585,0.9104,0.93096,0.85341,0.94541,0.7473,0.88025,0.59025,0.9591,0.0001114,0.0001114,0.0001114
