epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8103,0.67047,0.55459,0.90834,0.86237,0.76039,0.87036,0.6376,0.91796,0.85343,1.02587,5e-05,5e-05,5e-05
2,78.9755,0.67907,0.56592,0.95476,0.78683,0.79161,0.86051,0.63143,0.94214,0.88026,1.04082,0.000101363,0.000101363,0.000101363
3,82.3222,0.60941,0.51945,0.90165,0.80976,0.85577,0.86053,0.62929,0.92006,0.75765,1.02254,0.00014035,0.00014035,0.00014035
4,85.7513,0.65061,0.51977,0.92258,0.80622,0.83044,0.85378,0.62719,0.90989,0.81524,1.03191,0.000166962,0.000166962,0.000166962
5,89.1568,0.60801,0.50524,0.90346,0.82711,0.84321,0.89705,0.65546,0.92823,0.71182,1.02891,0.0001812,0.0001812,0.0001812
6,93.0431,0.58477,0.46759,0.90156,0.81043,0.83948,0.87968,0.65414,0.92247,0.76927,1.03523,0.000183063,0.000183063,0.000183063
7,96.3409,0.5825,0.44171,0.90013,0.82396,0.83065,0.886,0.64415,0.92856,0.77717,1.03355,0.00017255,0.00017255,0.00017255
8,99.8468,0.58003,0.4445,0.90302,0.85412,0.78464,0.8823,0.64011,0.93746,0.81285,1.04764,0.000149663,0.000149663,0.000149663
9,103.261,0.57312,0.41669,0.89089,0.81289,0.83651,0.88106,0.64541,0.91768,0.75587,1.02558,0.0001144,0.0001144,0.0001144
10,106.604,0.57157,0.40021,0.88177,0.85372,0.81544,0.88271,0.64583,0.91806,0.70285,1.02845,6.67625e-05,6.67625e-05,6.67625e-05
