epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9,1.7936,5.3308,1.81083,0.29812,0.0678,0.03837,0.01372,1.72148,4.73941,1.77639,5e-05,5e-05,5e-05
2,20.4738,1.56145,4.50209,1.64227,0.4383,0.31069,0.32001,0.23575,1.01671,2.75702,1.17609,0.000101363,0.000101363,0.000101363
3,24.4806,0.9142,1.80456,1.11638,0.59202,0.72505,0.64338,0.44963,0.9548,2.13821,1.11545,0.00014035,0.00014035,0.00014035
4,27.9038,0.89981,1.21249,1.08867,0.74722,0.70695,0.76478,0.5703,0.92161,1.35382,1.05096,0.000166962,0.000166962,0.000166962
5,31.1666,0.83249,0.99971,1.01685,0.74751,0.74191,0.76877,0.54784,0.97459,1.21094,1.06761,0.0001812,0.0001812,0.0001812
6,34.3858,0.79504,0.84234,0.99727,0.77802,0.70392,0.75898,0.5527,0.9621,1.20575,1.06336,0.000183063,0.000183063,0.000183063
7,37.4751,0.73918,0.71972,0.97344,0.79284,0.73419,0.80309,0.57256,0.99644,1.07093,1.09081,0.00017255,0.00017255,0.00017255
8,40.7092,0.7534,0.70946,0.97665,0.82121,0.7486,0.82832,0.59129,0.96866,0.98206,1.06554,0.000149663,0.000149663,0.000149663
9,43.8507,0.70834,0.60051,0.93798,0.81204,0.78075,0.84802,0.61249,0.96368,0.95162,1.05469,0.0001144,0.0001144,0.0001144
10,47.1011,0.6698,0.56891,0.92654,0.85797,0.79266,0.86614,0.63253,0.93223,0.82676,1.03612,6.67625e-05,6.67625e-05,6.67625e-05
